step,time,loss,acc
50,2019-09-09T11:36:40.134735,6.014544e-01,6.640625e-01
100,2019-09-09T11:37:32.017154,4.300354e-01,8.046875e-01
150,2019-09-09T11:38:25.848858,4.965879e-01,7.890625e-01
200,2019-09-09T11:39:17.501286,2.534032e-01,9.218750e-01
250,2019-09-09T11:40:10.133636,3.126256e-01,8.359375e-01
300,2019-09-09T11:41:04.191972,2.313896e-01,8.984375e-01
350,2019-09-09T11:41:57.919069,2.523742e-01,9.140625e-01
400,2019-09-09T11:42:51.866781,2.499631e-01,8.828125e-01
450,2019-09-09T11:43:46.268819,2.563795e-01,8.906250e-01
500,2019-09-09T11:44:40.520391,2.005931e-01,9.453125e-01
550,2019-09-09T11:45:46.850544,1.714068e-01,9.453125e-01
600,2019-09-09T11:46:41.483645,2.682878e-01,8.906250e-01
650,2019-09-09T11:47:36.369760,1.447667e-01,9.218750e-01
700,2019-09-09T11:48:30.951075,2.196543e-01,9.062500e-01
750,2019-09-09T11:49:25.564686,1.136648e-01,9.609375e-01
800,2019-09-09T11:50:19.988306,2.023009e-01,9.375000e-01
850,2019-09-09T11:51:13.872042,2.353858e-01,9.218750e-01
900,2019-09-09T11:52:07.762161,1.468558e-01,9.375000e-01
950,2019-09-09T11:53:01.567958,1.182906e-01,9.453125e-01
1000,2019-09-09T11:53:54.805298,1.324461e-01,9.375000e-01
1050,2019-09-09T11:55:02.183497,1.488380e-01,9.609375e-01
1100,2019-09-09T11:55:56.046450,4.115874e-02,9.921875e-01
1150,2019-09-09T11:56:49.719837,1.282764e-01,9.609375e-01
1200,2019-09-09T11:57:43.649137,1.132720e-01,9.687500e-01
1250,2019-09-09T11:58:52.832194,7.670598e-02,9.609375e-01
1300,2019-09-09T11:59:46.366657,1.941085e-01,9.375000e-01
1350,2019-09-09T12:00:41.359562,4.066150e-02,9.843750e-01
1400,2019-09-09T12:01:35.119919,5.626797e-02,9.843750e-01
1450,2019-09-09T12:02:29.184629,7.051609e-02,9.765625e-01
1500,2019-09-09T12:03:23.088796,8.930399e-02,9.765625e-01
1550,2019-09-09T12:04:29.754987,1.110815e-01,9.531250e-01
1600,2019-09-09T12:05:23.591317,8.658414e-02,9.687500e-01
1650,2019-09-09T12:06:19.368318,5.140427e-02,9.843750e-01
1700,2019-09-09T12:07:14.309889,1.292993e-01,9.531250e-01
1750,2019-09-09T12:08:10.295441,2.942041e-02,9.843750e-01
1800,2019-09-09T12:09:04.813308,7.022854e-02,9.765625e-01
1850,2019-09-09T12:09:58.959016,7.759868e-02,9.843750e-01
1900,2019-09-09T12:10:52.147311,7.758871e-02,9.765625e-01
1950,2019-09-09T12:11:44.115019,2.705069e-02,9.921875e-01
2000,2019-09-09T12:12:37.186622,1.551621e-02,9.921875e-01
2050,2019-09-09T12:13:43.107789,1.194194e-01,9.453125e-01
2100,2019-09-09T12:14:36.061815,7.173326e-02,9.843750e-01
2150,2019-09-09T12:15:27.954696,5.568464e-02,9.921875e-01
2200,2019-09-09T12:16:20.363687,6.650224e-02,9.843750e-01
2250,2019-09-09T12:17:12.256876,3.747664e-02,9.843750e-01
2300,2019-09-09T12:18:03.658332,9.190911e-02,9.687500e-01
2350,2019-09-09T12:18:56.600126,2.153406e-02,9.921875e-01
2400,2019-09-09T12:19:48.760130,9.974552e-03,1.000000e+00
